date,time,type,theme,link,impressions,likes,profile_clicks,url_clicks
2026-05-08,07:00,共感投稿,初心者の悩み,なし,33,3,1,0
2026-05-08,20:00,収益導線,comparison誘導,あり,12,1,0,0
